sep=,
DeviceTag:,LSh
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-02-11_12:17:11_000 EST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,416377964,-0.358355,-0.581325,0.507829,-0.525125,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,-1.22460937500000,-0.48095703125000,-0.01611328125000,0
1,416386297,-0.358278,-0.581318,0.507823,-0.525192,1.00000000000000,0.00005998183042,0.00002393964678,0.00007631350309,0.08018207550049,-0.00974297523499,-0.01540225744247,9.62223339080811,-1.16920351982117,-1.84834456443787,0.82484233379364,0.32920694351196,1.04942810535431,-1.22021484375000,-0.47851562500000,-0.01660156250000,0
2,416394630,-0.358171,-0.581331,0.507808,-0.525264,1.00000000000000,0.00009122397751,0.00000472646207,0.00007850769907,0.08006966114044,-0.01048547029495,-0.01518929004669,9.60874271392822,-1.25830662250519,-1.82278752326965,1.25446999073029,0.06499613076448,1.07960164546967,-1.22460937500000,-0.48144531250000,-0.01904296875000,0
3,416402963,-0.358013,-0.581391,0.507745,-0.525367,1.00000000000000,0.00017901975662,-0.00001111440361,0.00006566476077,0.08037602901459,-0.01045137643814,-0.01540422439575,9.64542388916016,-1.25500285625458,-1.84848475456238,2.46179676055908,-0.15284013748169,0.90299147367477,-1.22314453125000,-0.48242187500000,-0.01806640625000,0
4,416411296,-0.357845,-0.581480,0.507664,-0.525461,1.00000000000000,0.00020090397447,-0.00002944655716,0.00004162359983,0.08046019077301,-0.01062136888504,-0.01522785425186,9.65553379058838,-1.27514863014221,-1.82743501663208,2.76273846626282,-0.40493541955948,0.57238847017288,-1.22412109375000,-0.48046875000000,-0.01269531250000,0
5,416419629,-0.357677,-0.581581,0.507580,-0.525545,1.00000000000000,0.00020017940551,-0.00004129111767,0.00003028567880,0.08071798086166,-0.01014453172684,-0.01536226272583,9.68646526336670,-1.21785473823547,-1.84365379810333,2.75277471542358,-0.56781637668610,0.41647467017174,-1.22167968750000,-0.48193359375000,-0.01318359375000,0
6,416427962,-0.357506,-0.581689,0.507485,-0.525633,1.00000000000000,0.00021247938275,-0.00003986246884,0.00002235732973,0.08086532354355,-0.00968974828720,-0.01552158594131,9.70410060882568,-1.16358947753906,-1.86284089088440,2.92191815376282,-0.54817026853561,0.30744767189026,-1.22412109375000,-0.48242187500000,-0.01953125000000,0
7,416436295,-0.357354,-0.581796,0.507396,-0.525705,1.00000000000000,0.00019055418670,-0.00004093814641,0.00001236423850,0.08092558383942,-0.00913733243942,-0.01542735099792,9.71138858795166,-1.09689307212830,-1.85150337219238,2.62041306495667,-0.56296247243881,0.17002728581429,-1.22460937500000,-0.48193359375000,-0.01269531250000,0
8,416444628,-0.357213,-0.581884,0.507332,-0.525764,1.00000000000000,0.00015707034618,-0.00004292465746,0.00002497900277,0.08050107955933,-0.00870662927628,-0.01548188924789,9.66039848327637,-1.04542279243469,-1.85817563533783,2.15995883941650,-0.59027999639511,0.34349972009659,-1.22216796875000,-0.48144531250000,-0.01611328125000,0
9,416452961,-0.357107,-0.581947,0.507303,-0.525795,1.00000000000000,0.00009515788406,-0.00003943592310,0.00002972129732,0.08026945590973,-0.00876086950302,-0.01563411951065,9.63271903991699,-1.05134618282318,-1.87616968154907,1.30856728553772,-0.54230457544327,0.40871354937553,-1.22412109375000,-0.48193359375000,-0.01464843750000,0
