sep=,
DeviceTag:,LT
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-02-11_12:17:11_000 EST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,416361298,-0.870043,0.161375,0.105232,0.453779,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,-0.81933593750000,-0.28466796875000,-1.19921875000000,0
1,416369631,-0.870051,0.161333,0.105272,0.453770,1.00000000000000,-0.00000290852040,-0.00010062474757,0.00006916001439,0.02733856439590,-0.01488411426544,0.07631736993790,3.28235292434692,-1.78667187690735,9.15778064727783,-0.03999662771821,-1.38374495506287,0.95105648040771,-0.82031250000000,-0.28369140625000,-1.19580078125000,0
2,416377964,-0.870056,0.161302,0.105318,0.453761,1.00000000000000,-0.00000777002424,-0.00011466164142,0.00006685405970,0.02731043100357,-0.01504606008530,0.07652038335800,3.27895402908325,-1.80608928203583,9.18215560913086,-0.10684978961945,-1.57677400112152,0.91934615373611,-0.81738281250000,-0.28417968750000,-1.19921875000000,0
3,416386297,-0.870063,0.161255,0.105363,0.453752,1.00000000000000,0.00000337138772,-0.00010340940207,0.00006749667227,0.02728354930878,-0.01507717370987,0.07660949230194,3.27577447891235,-1.80970478057861,9.19285583496094,0.04636177048087,-1.42203843593597,0.92818313837051,-0.81787109375000,-0.28466796875000,-1.19824218750000,0
4,416394630,-0.870068,0.161204,0.105407,0.453750,1.00000000000000,0.00000755488873,-0.00010238494724,0.00005832128227,0.02714872360229,-0.01506525278091,0.07685613632202,3.25797653198242,-1.80790293216705,9.22310352325439,0.10389133542776,-1.40795052051544,0.80200725793839,-0.81738281250000,-0.28515625000000,-1.20166015625000,0
5,416402963,-0.870069,0.161118,0.105477,0.453763,1.00000000000000,0.00004499405622,-0.00010434817523,0.00003833323717,0.02733957767487,-0.01507335901260,0.07633870840073,3.28088021278381,-1.80887532234192,9.16101074218750,0.61873745918274,-1.43494784832001,0.52714091539383,-0.81933593750000,-0.28515625000000,-1.19677734375000,0
6,416411296,-0.870084,0.160996,0.105552,0.453760,1.00000000000000,0.00008569285274,-0.00009550619870,0.00005164183676,0.02729398012161,-0.01492094993591,0.07632130384445,3.27662706375122,-1.78962683677673,9.15867424011230,1.17840850353241,-1.31335723400116,0.71015471220016,-0.82177734375000,-0.28466796875000,-1.19677734375000,0
7,416419629,-0.870093,0.160881,0.105624,0.453766,1.00000000000000,0.00007405877113,-0.00009406637400,0.00004357285798,0.02732509374619,-0.01487755775452,0.07610940933228,3.28057670593262,-1.78439927101135,9.13316917419434,1.01842200756073,-1.29355728626251,0.59919375181198,-0.81884765625000,-0.28417968750000,-1.19824218750000,0
8,416427962,-0.870098,0.160811,0.105671,0.453771,1.00000000000000,0.00002465210855,-0.00009524729103,0.00005044229329,0.02744567394257,-0.01486641168594,0.07658034563065,3.29361248016357,-1.78404068946838,9.19000816345215,0.33900439739227,-1.30979669094086,0.69365906715393,-0.82031250000000,-0.28613281250000,-1.19677734375000,0
9,416436295,-0.870103,0.160757,0.105713,0.453770,1.00000000000000,0.00000703707337,-0.00009672809392,0.00005954131484,0.02741211652756,-0.01478302478790,0.07638555765152,3.28958535194397,-1.77403378486633,9.16663265228271,0.09677057713270,-1.33015990257263,0.81878465414047,-0.81884765625000,-0.28662109375000,-1.19677734375000,0
10,416444628,-0.870106,0.160734,0.105739,0.453768,1.00000000000000,-0.00002571661025,-0.00009887013584,0.00006337836385,0.02742743492126,-0.01472353935242,0.07626461982727,3.29142308235168,-1.76689565181732,9.15211868286133,-0.35364297032356,-1.35961651802063,0.87155002355576,-0.81982421875000,-0.28759765625000,-1.19775390625000,0
11,416452961,-0.870115,0.160684,0.105783,0.453758,1.00000000000000,0.00000619702041,-0.00010135304183,0.00006947107613,0.02734720706940,-0.01465529203415,0.07617217302322,3.28337907791138,-1.75904333591461,9.14039134979248,0.08521855622530,-1.39376008510590,0.95533406734467,-0.81933593750000,-0.28857421875000,-1.19873046875000,0
12,416461294,-0.870132,0.160626,0.105825,0.453735,1.00000000000000,0.00001798756421,-0.00009945500642,0.00008219853044,0.02742403745651,-0.01462960243225,0.07635813951492,3.29236316680908,-1.75580775737762,9.16282367706299,0.24735666811466,-1.36765921115875,1.13035619258881,-0.81982421875000,-0.28759765625000,-1.19482421875000,0
13,416469627,-0.870140,0.160609,0.105847,0.453722,1.00000000000000,-0.00003315415233,-0.00009754952043,0.00007873401046,0.02728027105331,-0.01473021507263,0.07661700248718,3.27510619163513,-1.76869368553162,9.19373798370361,-0.45592057704926,-1.34145581722260,1.08271372318268,-0.81982421875000,-0.28564453125000,-1.19970703125000,0
14,416477960,-0.870134,0.160659,0.105833,0.453719,1.00000000000000,-0.00010791886598,-0.00009912531823,0.00007435865700,0.02724820375443,-0.01486307382584,0.07639938592911,3.27077174186707,-1.78500056266785,9.16772174835205,-1.48405039310455,-1.36312568187714,1.02254593372345,-0.81982421875000,-0.28369140625000,-1.19775390625000,0
15,416486293,-0.870124,0.160700,0.105822,0.453725,1.00000000000000,-0.00010322686285,-0.00009365845472,0.00006598792970,0.02716594934464,-0.01505488157272,0.07646238803864,3.26097154617310,-1.80811452865601,9.17523670196533,-1.41952800750732,-1.28794777393341,0.90743547677994,-0.82031250000000,-0.28515625000000,-1.19433593750000,0
16,416494626,-0.870111,0.160698,0.105841,0.453747,1.00000000000000,-0.00005120690912,-0.00010132696480,0.00003854185343,0.02711057662964,-0.01508671045303,0.07619494199753,3.25339913368225,-1.81047749519348,9.14375782012939,-0.70417374372482,-1.39340162277222,0.53000974655151,-0.81738281250000,-0.28515625000000,-1.19726562500000,0
17,416502959,-0.870109,0.160641,0.105890,0.453759,1.00000000000000,0.00001017004251,-0.00009984243661,0.00004428997636,0.02745777368546,-0.01499360799789,0.07642835378647,3.29506444931030,-1.79930484294891,9.17176818847656,0.13985371589661,-1.37298703193665,0.60905522108078,-0.81640625000000,-0.28808593750000,-1.19482421875000,0
18,416511292,-0.870108,0.160587,0.105936,0.453770,1.00000000000000,0.00000923499465,-0.00010040495545,0.00004397146404,0.02734416723251,-0.01494485139847,0.07652151584625,3.28143119812012,-1.79345381259918,9.18294811248779,0.12699536979198,-1.38072240352631,0.60467523336411,-0.81933593750000,-0.28662109375000,-1.19775390625000,0
19,416519625,-0.870099,0.160571,0.105979,0.453783,1.00000000000000,-0.00002908613533,-0.00011397805065,0.00004446506500,0.02753865718842,-0.01486867666245,0.07679408788681,3.30660128593445,-1.78509438037872,9.21485233306885,-0.39997908473015,-1.56737351417542,0.61146301031113,-0.81689453125000,-0.28662109375000,-1.19482421875000,0
20,416527958,-0.870089,0.160569,0.106026,0.453791,1.00000000000000,-0.00003722961992,-0.00012682843953,0.00004793331027,0.02744144201279,-0.01494723558426,0.07622182369232,3.29472351074219,-1.79449141025543,9.14625358581543,-0.51196455955505,-1.74408614635468,0.65915673971176,-0.81982421875000,-0.28515625000000,-1.19384765625000,0
